Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2010-08-11,12.232443809509277,12.388166152058341,12.226473375497529,12.381449650792344,88831080
2010-08-12,12.239161491394043,12.307320950971528,12.002841110856997,12.038413449292657,88095816
2010-08-13,12.098363876342773,12.218762264649484,12.089904970962937,12.164284183795166,77310612
2010-08-16,12.079458236694336,12.18592687632043,11.952840091812675,12.031945030229553,52147800
2010-08-17,12.202095985412598,12.306077103803615,12.090403924722722,12.152592949279814,75552372
2010-08-18,11.993884086608887,12.210801003910378,11.978958949836453,12.200104845487909,107348544
2010-08-19,11.641145706176758,12.002840453294978,11.623234403394994,11.965525713160766,156843000
2010-08-20,11.493134498596191,11.731196325978026,11.468258320737824,11.641145908275037,156547296
2010-08-23,11.544130325317383,11.648111446462895,11.386418135800277,11.480199843325048,119328552
2010-08-24,11.228703498840332,11.402337140378588,11.217011004110407,11.38566960005578,110397492
2010-08-25,11.309052467346191,11.388406721661253,11.194125877783383,11.194125877783383,103580316
2010-08-26,11.218504905700684,11.374724951081378,11.205071902423535,11.344874675344553,71008920
2010-08-27,11.413780212402344,11.442636047774117,11.135667748824275,11.257808539946526,92403504
2010-08-30,11.261042594909668,11.43691444366457,11.254326093551716,11.421739985338991,49206744
2010-08-31,11.194623947143555,11.315271653723473,11.144374846159206,11.196863096985554,77794128
2010-09-01,11.451094627380371,11.565771907802782,11.25631701704458,11.318009296703412,129002868
2010-09-02,11.521988868713379,11.553082902095733,11.450594882492085,11.513531860426673,67300632
2010-09-03,11.699106216430664,11.738410786891958,11.627961540615338,11.704578956723301,101514384
2010-09-07,11.552339553833008,11.63169286637384,11.518010029336358,11.55482612889596,68327604
2010-09-08,11.706069946289062,11.753831521631614,11.555074278777617,11.571989244218393,95975928
2010-09-09,11.845375061035156,11.950351557158232,11.706069991750608,11.886421083368788,97126776
2010-09-10,11.844379425048828,11.935176849661698,11.818012063015582,11.916021786842837,78893028
2010-09-13,11.996870040893555,12.048611276609124,11.928709636936988,11.9627907869042,89570340
2010-09-14,11.951099395751953,12.058563430612406,11.942393064628467,11.99040302035776,88571340
2010-09-15,11.956319808959961,11.987414788857262,11.903085499148283,11.939156472139723,96015888
2010-09-16,11.966771125793457,12.001348075939008,11.925725098831728,11.9391590507019,78701220
2010-09-17,12.192891120910645,12.219010111270766,11.969755388006147,12.033685863902846,225438336
2010-09-20,12.643889427185059,12.69687441989433,12.2404035696044,12.25134904884689,175963860
